sa_id,p_id,brad_date,ch_svc_id,ch_no,ch_nm,prod_id,cw_id,bom_st_dt,bom_fns_dt,bom_prod_nm,대분류,중분류,소분류,브랜드,세분류,productImgUrl,mUrl,originPrice,price,cw_date,선호그룹,메타그룹,카피라이팅,평균,매력성,자연스러움,적합성,길이,종결어미
0,0,2024-02-04,395,012,KT알파 쇼핑,3951707042540,4016000,2024-02-04 10:29:00,2024-02-04 11:28:58,"특사이즈 총 24인분! [해화당] 이영자의 뼈없는 갈비탕 900g x 8팩, 총 7.2kg",식품/건강,축산물,축산가공식품,해화당,뼈없는 갈비탕,http://imgs.kshop.co.kr//d2/product/emc/202312/26/34/847/2634847_550_20231221155612.jpg,http://m.kshop.co.kr/display/mc/product/2634847?with_code=000004&utm_source=hsmoa_ep&utm_medium=cps&utm_campaign=prd_01_%EC%8B%9D%ED%92%88%2F%EA%B1%B4%EA%B0%95_2634847&utm_content=mo_schedule,63900,"54,320",2024-02-01,삼시세끼,식품,"간편하게 요리, 겨울밤을 닮은 삼시세끼",8.75,9,8,8,10,P
0,0,2024-02-02,395,012,KT알파 쇼핑,3951706838120,4016000,2024-02-02 01:42:00,2024-02-02 02:41:58,윤상섭 수제소왕갈비 600g*4팩+갈비찜500g*4팩,식품/건강,축산물,쇠고기,수제소왕갈비,없음,http://imgs.kshop.co.kr//d2/product/emc/202401/28/77/927/2877927_550_20240104194119.jpg,http://m.kshop.co.kr/display/mc/product/2877927?with_code=000004&utm_source=hsmoa_ep&utm_medium=cps&utm_campaign=prd_01_%EC%8B%9D%ED%92%88%2F%EA%B1%B4%EA%B0%95_2877927&utm_content=mo_schedule,89900,"76,420",2024-02-01,삼시세끼,식품,"간편하게 요리, 겨울밤을 닮은 삼시세끼",8.75,9,8,8,10,P
0,0,2024-02-02,362,014,홈&쇼핑,3621706839200,4016000,2024-02-02 02:00:00,2024-02-02 02:59:58,[NEW]박수홍의 착한 뼈없는 갈비찜 500g x 8팩 (총 4kg),식품/건강,축산물,축산가공식품,박수홍의,없음,http://image.hnsmall.com/images/goods/756/41470756_g.gif,http://m.hnsmall.com/goods/view/41470756?channel_code=21363&utm_source=OllehPortal&utm_medium=AF&utm_campaign=2CH_None_41470756,76900,"76,900",2024-02-01,삼시세끼,식품,"간편하게 요리, 겨울밤을 닮은 삼시세끼",8.75,9,8,8,10,P
0,0,2024-02-04,478,017,SK 스토아,4781707054060,4016000,2024-02-04 13:41:00,2024-02-04 14:40:58,[강부자] [SK단독]부자 뼈없는 갈비찜 500g*8팩,식품/건강,농산물,채소,SK단독,갈비찜,http://imagecdn.skstoa.com/goods/209/37246209_g.jpg,http://m.skstoa.com/display/goods/37246209?orderMedia=62&mediaCode=EP01&mediaTarget=001&utm_source=hsmoa&utm_medium=affiliate&utm_campaign=hsmoaonair,80900,"79,900",2024-02-01,삼시세끼,식품,"간편하게 요리, 겨울밤을 닮은 삼시세끼",8.75,9,8,8,10,P
0,0,2024-02-01,308,002,NS홈쇼핑,3081706798100,4016000,2024-02-01 14:35:00,2024-02-01 15:24:58,육미명가 뼈없는 특갈비탕 600gX8팩+2팩 더! (총 10팩),식품/건강,축산물,축산가공식품,육미명가,없음,http://product-image.prod-nsmall.com/itemimg9/33/469/33837469_S.jpg,http://mw.nsmall.com/gate.html?co_cd=181&target=/product/33837469,59900,"59,900",2024-02-01,삼시세끼,식품,"간편하게 요리, 겨울밤을 닮은 삼시세끼",8.75,9,8,8,10,P
0,0,2024-02-02,326,020,신세계쇼핑,3261706891640,4016000,2024-02-02 16:34:00,2024-02-02 17:34:18,[삼성5%할인][해화당] 이영자 뼈없는 갈비탕 4팩 + 도가니탕 2팩 (총 6팩),식품/건강,축산물,축산가공식품,해화당,도가니탕,http://img.shinsegaetvshopping.com/goods/752/20052752_g_20240123134813.jpg,http://m.shinsegaetvshopping.com/display/detail/20052752?inMediaCode=MC02,49900,"49,900",2024-02-01,삼시세끼,식품,"간편하게 요리, 겨울밤을 닮은 삼시세끼",8.75,9,8,8,10,P
0,0,2024-02-04,719,022,공영쇼핑,7191707046500,4016000,2024-02-04 11:35:00,2024-02-04 12:44:58,국내산 뼈없는 ★갈비탕★ 10팩(7kg),식품/건강,축산물,축산가공식품,국내산,갈비탕,"https://img.publichs.com/ECMCFO/share/product/43/03/63/15903306.jpg/dims/resize/Q_80,435",https://m.gongyoungshop.kr/gate/selectAliance.do?alcLnkCd=kt&tgUrl=/goods/selectGoodsDetail.do?prdId=11630343,69900,"64,900",2024-02-01,삼시세끼,식품,"간편하게 요리, 겨울밤을 닮은 삼시세끼",8.75,9,8,8,10,P
0,0,2024-02-02,719,022,공영쇼핑,7191706906400,4016000,2024-02-02 20:40:00,2024-02-02 21:44:58,★+2팩/역대최다!★조리기능장 박지영의 뼈없는 도가니갈비탕 12팩!,식품/건강,축산물,축산가공식품,박지영의,뼈없는 도가니갈비탕,"https://img.publichs.com/ECMCFO/share/product/02/27/77/16842523.jpg/dims/resize/Q_80,435",https://m.gongyoungshop.kr/gate/selectAliance.do?alcLnkCd=kt&tgUrl=/goods/selectGoodsDetail.do?prdId=11772702,59900,"59,900",2024-02-01,삼시세끼,식품,"간편하게 요리, 겨울밤을 닮은 삼시세끼",8.75,9,8,8,10,P
0,0,2024-02-02,231,028,GS MY SHOP,2311706873760,4016000,2024-02-02 11:36:00,2024-02-02 12:35:58,정통솥갈비찜 4팩 대구식 매운마늘갈비찜 2팩 [해화당] 이영자의 갈비찜2종 총 6팩 정통갈비찜4팩 매운갈비찜2팩,식품/건강,축산물,축산가공식품,해화당,매운마늘갈비찜,https://asset.m-gs.kr/prod/1045893524/1/550,https://m.gsshop.com/alia/aliaGate.gs?media=LLH&gourl=/prd/prd.gs?prdid=1045893524,69900,"69,900",2024-02-01,삼시세끼,식품,"간편하게 요리, 겨울밤을 닮은 삼시세끼",8.75,9,8,8,10,P
0,0,2024-02-04,440,032,LOTTE OneTV,4401707043200,4016000,2024-02-04 10:40:00,2024-02-04 11:40:58,그때그맛 뼈없는 소갈비찜 500g 7팩 (총 3.5kg),식품/건강,축산물,축산가공식품,없음,소갈비찜,https://image2.lotteimall.com/goods/63/08/78/12780863_1.jpg,https://m.lotteimall.com/coop/affilGate.lotte?chl_no=183671&chl_dtl_no=2605020&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=12780863,75900,"74,900",2024-02-01,삼시세끼,식품,"간편하게 요리, 겨울밤을 닮은 삼시세끼",8.75,9,8,8,10,P
